date,cpi,access_date
2031-12-01,103.6,2021-05-01
2032-01-01,107.5,2021-05-01
2032-02-01,103.4,2021-05-01
2032-03-01,105,2021-05-01
2032-04-01,102.5,2021-05-01
2032-05-01,100.5,2021-05-01
2032-06-01,94.9,2021-05-01
2032-07-01,111.1,2021-05-01
2032-08-01,92.1,2021-05-01
2032-09-01,101.2,2021-05-01
2032-10-01,108.6,2021-05-01
2032-11-01,110.2,2021-05-01
2032-12-01,100.6,2021-05-01
2033-01-01,103,2021-05-01
2033-02-01,104.5,2021-05-01
2033-03-01,100.6,2021-05-01
2033-04-01,112.4,2021-05-01
2033-05-01,104,2021-05-01
2033-06-01,98.6,2021-05-01
2033-07-01,104.9,2021-05-01
2033-08-01,97,2021-05-01
2033-09-01,103.9,2021-05-01
2033-10-01,99.2,2021-05-01
2033-11-01,110.2,2021-05-01
2033-12-01,109.3,2021-05-01
2034-01-01,101,2021-05-01
2034-02-01,99.3,2021-05-01
2034-03-01,100.1,2021-05-01
2034-04-01,109.6,2021-05-01
2034-05-01,102.4,2021-05-01
2034-06-01,101.9,2021-05-01
2034-07-01,115.3,2021-05-01
2034-08-01,94.2,2021-05-01
2034-09-01,85,2021-05-01
2034-10-01,101.7,2021-05-01
2034-11-01,109.4,2021-05-01
2034-12-01,105.3,2021-05-01
2035-01-01,102.3,2021-05-01
2035-02-01,101.3,2021-05-01
2035-03-01,102.8,2021-05-01
2035-04-01,109,2021-05-01
2035-05-01,101.8,2021-05-01
2035-06-01,99,2021-05-01
2035-07-01,104.4,2021-05-01
2035-08-01,99.3,2021-05-01
2035-09-01,107,2021-05-01
2035-10-01,108.5,2021-05-01
2035-11-01,109,2021-05-01
2035-12-01,92.7,2021-05-01
2036-01-01,101,2021-05-01
2036-02-01,101,2021-05-01
2036-03-01,102.7,2021-05-01
2036-04-01,100.1,2021-05-01
2036-05-01,113.5,2021-05-01
2036-06-01,105.2,2021-05-01
2036-07-01,113.2,2021-05-01
